dataset,model,split,max_features,num_features,accuracy,sensitivity,specificity,precision,f1-score,CM(TP:TN:FP:FN),model_file
features_all_1D_mean_standarized_zscore-robust_outliers_no,rlo,,5-features,5,0.6727,0.5652,0.7500,0.6696,0.6702,13:24:8:10,model__rlo__features_all_1D_mean_standarized_zscore-robust_outliers_no__5-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_yes,rlo,,5-features,5,0.7273,0.7391,0.7188,0.7349,0.7289,17:23:9:6,model__rlo__features_all_1D_mean_standarized_zscore-robust_outliers_yes__5-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_no,rlo,,5-features,5,0.7636,0.6957,0.8125,0.7625,0.7628,16:26:6:7,model__rlo__features_all_1D_mean_standarized_zscore_outliers_no__5-features__loo.skops
features_all_1D_mean_standarized_zscore_outliers_yes,rlo,,5-features,5,0.7636,0.6957,0.8125,0.7625,0.7628,16:26:6:7,model__rlo__features_all_1D_mean_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_no,rlo,,5-features,5,0.6727,0.5652,0.7500,0.6696,0.6702,13:24:8:10,model__rlo__features_all_1D_sum_standarized_zscore-robust_outliers_no__5-features__loo.skops
features_all_1D_sum_standarized_zscore-robust_outliers_yes,rlo,,5-features,5,0.7273,0.7391,0.7188,0.7349,0.7289,17:23:9:6,model__rlo__features_all_1D_sum_standarized_zscore-robust_outliers_yes__5-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_no,rlo,,5-features,5,0.7091,0.6957,0.7188,0.7137,0.7105,16:23:9:7,model__rlo__features_all_1D_sum_standarized_zscore_outliers_no__5-features__loo.skops
features_all_1D_sum_standarized_zscore_outliers_yes,rlo,,5-features,5,0.7091,0.6957,0.7188,0.7137,0.7105,16:23:9:7,model__rlo__features_all_1D_sum_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_no,rlo,,5-features,5,0.7818,0.7391,0.8125,0.7818,0.7818,17:26:6:6,model__rlo__features_all_1H_mean_standarized_zscore-robust_outliers_no__5-features__loo.skops
features_all_1H_mean_standarized_zscore-robust_outliers_yes,rlo,,5-features,5,0.7818,0.6957,0.8438,0.7806,0.7802,16:27:5:7,model__rlo__features_all_1H_mean_standarized_zscore-robust_outliers_yes__5-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_no,rlo,,5-features,5,0.8545,0.8261,0.8750,0.8545,0.8545,19:28:4:4,model__rlo__features_all_1H_mean_standarized_zscore_outliers_no__5-features__loo.skops
features_all_1H_mean_standarized_zscore_outliers_yes,rlo,,5-features,4,0.8909,0.9130,0.8750,0.8943,0.8914,21:28:4:2,model__rlo__features_all_1H_mean_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_no,rlo,,5-features,4,0.8545,0.7826,0.9062,0.8547,0.8534,18:29:3:5,model__rlo__features_all_1H_median_standarized_zscore_outliers_no__5-features__loo.skops
features_all_1H_median_standarized_zscore_outliers_yes,rlo,,5-features,5,0.8545,0.8261,0.8750,0.8545,0.8545,19:28:4:4,model__rlo__features_all_1H_median_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_no,rlo,,5-features,5,0.7818,0.7391,0.8125,0.7818,0.7818,17:26:6:6,model__rlo__features_all_1H_sum_standarized_zscore-robust_outliers_no__5-features__loo.skops
features_all_1H_sum_standarized_zscore-robust_outliers_yes,rlo,,5-features,5,0.7818,0.6957,0.8438,0.7806,0.7802,16:27:5:7,model__rlo__features_all_1H_sum_standarized_zscore-robust_outliers_yes__5-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_no,rlo,,5-features,5,0.8545,0.8261,0.8750,0.8545,0.8545,19:28:4:4,model__rlo__features_all_1H_sum_standarized_zscore_outliers_no__5-features__loo.skops
features_all_1H_sum_standarized_zscore_outliers_yes,rlo,,5-features,4,0.8909,0.9130,0.8750,0.8943,0.8914,21:28:4:2,model__rlo__features_all_1H_sum_standarized_zscore_outliers_yes__5-features__loo.skops
features_all_1D_mean_standarized_zscore-robust_outliers_no,rlo,,10-features,6,0.7636,0.6087,0.8750,0.7655,0.7578,14:28:4:9,model__rlo__features_all_1D_mean_standarized_zscore-robust_outliers_no__10-features__loo.skops
