number,score_metric,criteria,best_model_mean,score_best_model_mean,model_file_mean,best_model_median,score_best_model_median,model_file_median
condition_1,MAPE,min,NaiveSeasonal,197.6005,condition_1__hourly_mean__NaiveSeasonal__MAPE_min.pkl,NaiveSeasonal,106.2050,condition_1__hourly_median__NaiveSeasonal__MAPE_min.pkl
condition_2,MAPE,min,NaiveSeasonal,194.3737,condition_2__hourly_mean__NaiveSeasonal__MAPE_min.pkl,XGBModel,375.4673,condition_2__hourly_median__XGBModel__MAPE_min.pkl
condition_3,MAPE,min,Prophet,135.7124,condition_3__hourly_mean__Prophet__MAPE_min.pkl,ExponentialSmoothing,190.1347,condition_3__hourly_median__ExponentialSmoothing__MAPE_min.pkl
condition_4,MAPE,min,XGBModel,1411.2185,condition_4__hourly_mean__XGBModel__MAPE_min.pkl,XGBModel,122.4244,condition_4__hourly_median__XGBModel__MAPE_min.pkl
condition_5,MAPE,min,Prophet,341.0560,condition_5__hourly_mean__Prophet__MAPE_min.pkl,NaiveSeasonal,120.5166,condition_5__hourly_median__NaiveSeasonal__MAPE_min.pkl
condition_6,MAPE,min,NaiveSeasonal,457.8006,condition_6__hourly_mean__NaiveSeasonal__MAPE_min.pkl,Prophet,140.5164,condition_6__hourly_median__Prophet__MAPE_min.pkl
condition_7,MAPE,min,XGBModel,8860.6642,condition_7__hourly_mean__XGBModel__MAPE_min.pkl,FFT,168.4752,condition_7__hourly_median__FFT__MAPE_min.pkl
condition_8,MAPE,min,ExponentialSmoothing,30503905122547332.0000,condition_8__hourly_mean__ExponentialSmoothing__MAPE_min.pkl,Prophet,163.9031,condition_8__hourly_median__Prophet__MAPE_min.pkl
condition_9,MAPE,min,NaiveSeasonal,185.5332,condition_9__hourly_mean__NaiveSeasonal__MAPE_min.pkl,FFT,229.6238,condition_9__hourly_median__FFT__MAPE_min.pkl
condition_10,MAPE,min,XGBModel,675.1177,condition_10__hourly_mean__XGBModel__MAPE_min.pkl,Prophet,945.3869,condition_10__hourly_median__Prophet__MAPE_min.pkl
condition_11,MAPE,min,FFT,191.1961,condition_11__hourly_mean__FFT__MAPE_min.pkl,Prophet,506.6884,condition_11__hourly_median__Prophet__MAPE_min.pkl
condition_12,MAPE,min,XGBModel,383.4067,condition_12__hourly_mean__XGBModel__MAPE_min.pkl,XGBModel,254.8252,condition_12__hourly_median__XGBModel__MAPE_min.pkl
condition_13,MAPE,min,ExponentialSmoothing,169.8111,condition_13__hourly_mean__ExponentialSmoothing__MAPE_min.pkl,ExponentialSmoothing,369.4777,condition_13__hourly_median__ExponentialSmoothing__MAPE_min.pkl
condition_14,MAPE,min,XGBModel,467.2939,condition_14__hourly_mean__XGBModel__MAPE_min.pkl,XGBModel,121.8957,condition_14__hourly_median__XGBModel__MAPE_min.pkl
condition_15,MAPE,min,Prophet,346.4254,condition_15__hourly_mean__Prophet__MAPE_min.pkl,XGBModel,169.3197,condition_15__hourly_median__XGBModel__MAPE_min.pkl
