number,score_metric,criteria,best_model_mean,score_best_model_mean,model_file_mean,best_model_median,score_best_model_median,model_file_median
condition_1,RMSE,min,Prophet,0.7824,condition_1__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.7884,condition_1__hourly_median__Prophet__RMSE_min.pkl
condition_2,RMSE,min,XGBModel,0.9555,condition_2__hourly_mean__XGBModel__RMSE_min.pkl,Prophet,0.7547,condition_2__hourly_median__Prophet__RMSE_min.pkl
condition_3,RMSE,min,Prophet,0.7648,condition_3__hourly_mean__Prophet__RMSE_min.pkl,ExponentialSmoothing,0.8016,condition_3__hourly_median__ExponentialSmoothing__RMSE_min.pkl
condition_4,RMSE,min,XGBModel,1.0444,condition_4__hourly_mean__XGBModel__RMSE_min.pkl,ExponentialSmoothing,1.0815,condition_4__hourly_median__ExponentialSmoothing__RMSE_min.pkl
condition_5,RMSE,min,Prophet,0.7178,condition_5__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.6107,condition_5__hourly_median__Prophet__RMSE_min.pkl
condition_6,RMSE,min,Prophet,0.7870,condition_6__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.9199,condition_6__hourly_median__Prophet__RMSE_min.pkl
condition_7,RMSE,min,Prophet,1.1809,condition_7__hourly_mean__Prophet__RMSE_min.pkl,Prophet,1.0027,condition_7__hourly_median__Prophet__RMSE_min.pkl
condition_8,RMSE,min,Prophet,1.2210,condition_8__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.7410,condition_8__hourly_median__Prophet__RMSE_min.pkl
condition_9,RMSE,min,Prophet,0.8670,condition_9__hourly_mean__Prophet__RMSE_min.pkl,FFT,0.9574,condition_9__hourly_median__FFT__RMSE_min.pkl
condition_10,RMSE,min,XGBModel,0.5261,condition_10__hourly_mean__XGBModel__RMSE_min.pkl,Prophet,0.8655,condition_10__hourly_median__Prophet__RMSE_min.pkl
condition_11,RMSE,min,FFT,1.4769,condition_11__hourly_mean__FFT__RMSE_min.pkl,FFT,1.1186,condition_11__hourly_median__FFT__RMSE_min.pkl
condition_12,RMSE,min,Prophet,0.9173,condition_12__hourly_mean__Prophet__RMSE_min.pkl,FFT,0.9771,condition_12__hourly_median__FFT__RMSE_min.pkl
condition_13,RMSE,min,ExponentialSmoothing,0.8098,condition_13__hourly_mean__ExponentialSmoothing__RMSE_min.pkl,ExponentialSmoothing,1.0805,condition_13__hourly_median__ExponentialSmoothing__RMSE_min.pkl
condition_14,RMSE,min,XGBModel,1.0673,condition_14__hourly_mean__XGBModel__RMSE_min.pkl,ExponentialSmoothing,0.8685,condition_14__hourly_median__ExponentialSmoothing__RMSE_min.pkl
condition_15,RMSE,min,FFT,1.4964,condition_15__hourly_mean__FFT__RMSE_min.pkl,FFT,1.0001,condition_15__hourly_median__FFT__RMSE_min.pkl
condition_16,RMSE,min,Prophet,0.6303,condition_16__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.7084,condition_16__hourly_median__Prophet__RMSE_min.pkl
condition_17,RMSE,min,Prophet,0.7398,condition_17__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.8728,condition_17__hourly_median__Prophet__RMSE_min.pkl
condition_18,RMSE,min,Prophet,0.9010,condition_18__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.9970,condition_18__hourly_median__Prophet__RMSE_min.pkl
condition_19,RMSE,min,ExponentialSmoothing,1.0902,condition_19__hourly_mean__ExponentialSmoothing__RMSE_min.pkl,FFT,1.0344,condition_19__hourly_median__FFT__RMSE_min.pkl
condition_20,RMSE,min,Prophet,0.9632,condition_20__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.6775,condition_20__hourly_median__Prophet__RMSE_min.pkl
condition_21,RMSE,min,Prophet,1.3569,condition_21__hourly_mean__Prophet__RMSE_min.pkl,Prophet,1.0023,condition_21__hourly_median__Prophet__RMSE_min.pkl
condition_22,RMSE,min,ExponentialSmoothing,0.7144,condition_22__hourly_mean__ExponentialSmoothing__RMSE_min.pkl,ExponentialSmoothing,0.9770,condition_22__hourly_median__ExponentialSmoothing__RMSE_min.pkl
condition_23,RMSE,min,Prophet,0.7383,condition_23__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.8262,condition_23__hourly_median__Prophet__RMSE_min.pkl
control_1,RMSE,min,Prophet,0.8676,control_1__hourly_mean__Prophet__RMSE_min.pkl,Prophet,1.0743,control_1__hourly_median__Prophet__RMSE_min.pkl
control_2,RMSE,min,XGBModel,0.7149,control_2__hourly_mean__XGBModel__RMSE_min.pkl,NaiveSeasonal,0.9582,control_2__hourly_median__NaiveSeasonal__RMSE_min.pkl
control_3,RMSE,min,Prophet,0.5766,control_3__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.7847,control_3__hourly_median__Prophet__RMSE_min.pkl
control_4,RMSE,min,Prophet,0.9666,control_4__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.8619,control_4__hourly_median__Prophet__RMSE_min.pkl
control_5,RMSE,min,Prophet,0.5382,control_5__hourly_mean__Prophet__RMSE_min.pkl,Prophet,0.8149,control_5__hourly_median__Prophet__RMSE_min.pkl
control_6,RMSE,min,Prophet,0.9010,control_6__hourly_mean__Prophet__RMSE_min.pkl,Prophet,1.0095,control_6__hourly_median__Prophet__RMSE_min.pkl
control_7,RMSE,min,Prophet,0.8105,control_7__hourly_mean__Prophet__RMSE_min.pkl,XGBModel,0.7379,control_7__hourly_median__XGBModel__RMSE_min.pkl
